prot_ID,dom_id,dom_ref,dom_db
1,1,cd01614,CDD
2,3,cd07045,CDD
3,5,cd07121,CDD
4,7,cd00012,CDD
5,9,cd07050,CDD
6,3,cd07045,CDD
7,11,cd07047,CDD
5,9,cd07050,CDD
